Title,URL,Date,Primary image,Primary image caption,Primary image rights information,Subjects,Station,State,Place,Keywords,Latitude,Longitude,MediaRSS URL,Billboards
Warming barramundi with waste,http://www.abc.net.au/local/photos/2014/10/14/4106762.htm,14/10/2014,http://www.abc.net.au/reslib/201410/r1340817_18713246.JPG,This disused mine is being filled with household rubbish and the gas generated within is being returned to the grid.,Copyright: ABC | Source: ABC Local | Byline: Lish Fejer,Environment, Environment:Environmental Management, Environment:Water,,ABC Canberra,ACT,Canberra,Sunday Brunch, Woodlawn, Tarago, Canberra, bioreactor, barramundi,-35.2772,149.1292,http://www.abc.net.au/local/photos/2014/10/14/4106762-mediarss.xml,"images/0281.png"
Drive and Evenings live from Floriade,http://www.abc.net.au/local/photos/2014/10/02/4099036.htm,2/10/2014,http://www.abc.net.au/reslib/201410/r1336812_18628607.JPG,Evenings' Dom Knight broadcasting live with the Norman the Quiz audience,Copyright: ABC | Source: Min Sun - ABC Local | Byline:,Arts and Entertainment:Events:Carnivals and Festivals,,ABC Canberra,ACT,Canberra,Floriade, Nightfest, Drive, Adam Shirley,-35.2772,149.1292,http://www.abc.net.au/local/photos/2014/10/02/4099036-mediarss.xml,"images/0301.png"
Running from death's door as dialysis patient aims for a triathlon,http://www.abc.net.au/local/photos/2014/05/29/4014918.htm,29/05/2014,http://www.abc.net.au/reslib/201405/r1282990_17388391.jpg,Jervis Bay's Clint Eastwood is training to become Australia's first triathlete on dialysis.,Copyright: ABC | Source: ABC | Byline: Justin Huntsdale,Health:Diseases and Disorders:Liver and Kidneys, Sport:Other Sports:Triathlon,,ABC Illawarra NSW,ACT,Jervis Bay,dialysis, clint eastwood, triathlete, triathlon, exercise, wollongong, blood, kidney failure, justin huntsdale,-35.1333,150.7167,http://www.abc.net.au/local/photos/2014/05/29/4014918-mediarss.xml,"images/0474.png"
Got something to spray?,http://www.abc.net.au/local/photos/2014/05/27/4013187.htm?site=canberra&xml=4013187-mediarss.xml#bigpicturepos,27/05/2014,http://www.abc.net.au/reslib/201405/r1281779_17361531.jpg,This underpass in Kaleen has been designated by the ACT Government as a legal place to paint graffiti or other street art,Copyright: ABC | Source: ABC Local | Byline: James Vyver,Arts and Entertainment:Street Art,,ABC Canberra,ACT,Canberra,graffiti, street art, legal, wall, tags, Canberra, kaleen, ACT Government, TAMS, spot, spray, aerosol, vandalism, 666,-35.2772,149.1292,http://www.abc.net.au/local/photos/2014/05/27/4013187-mediarss.xml?site=canberra&xml=4013187-mediarss.xml#bigpicturepos,"images/0729.png"
Making Music at the National Folk Festival,http://www.abc.net.au/local/photos/2014/04/17/3988016.htm,17/04/2014,http://www.abc.net.au/reslib/201404/r1265117_16983381.jpg,Sound screen on one of John’s resonator guitars. This is the reason these guitars have such a “big” sound.,Copyright: ABC | Source: ABC Local | Byline: Ginger Gorman,Arts and Entertainment:Events:Carnivals and Festivals, Arts and Entertainment:Music:Acoustic, Arts and Entertainment:Music:Bands and Artists, Arts and Entertainment:Music:Blues,ABC Canberra,ACT,Canberra,,-35.2772,149.1292,http://www.abc.net.au/local/photos/2014/04/17/3988016-mediarss.xml,"images/0850.png"
Kindy Kids: Term One,http://www.abc.net.au/local/photos/2014/04/16/3986754.htm,16/04/2014,http://www.abc.net.au/reslib/201404/r1264237_16962732.JPG,Sapphires teacher Hannah Butcher with some of her students - (l-f) Ryan, Nikita and Taylor and (front) Liana and Kyan.,Copyright: ABC | Source: ABC Local | Byline: Louise Maher,Community and Society:Family and Children:Children, Education:Play and Learning, Education:Schools:Primary Schools,,ABC Canberra,ACT,Canberra,kindergarten, Isabella Plains Early Childhood School, term one, Hannah Butcher, Louise Maher, 666 ABC Canberra,-35.2772,149.1292,http://www.abc.net.au/local/photos/2014/04/16/3986754-mediarss.xml,"images/0856.png"
Breakfast in Hall,http://www.abc.net.au/local/photos/2014/03/21/3968528.htm,21/03/2014,http://www.abc.net.au/reslib/201403/r1252414_16702844.jpg,666's Philip Clarke took the Breakfast Program to the Hall General Store,Copyright: ABC | Source: ABC Local | Byline: Jim Trail,Community and Society:History:19th Century, Community and Society:History:20th Century, Education:Subjects:History, Information and Communication:Broadcasting:ABC,ABC Canberra,ACT,Canberra,hall, breakfast, Canberra: Breakfast, rural, urban, philip clark, lucy barbour, trick winter, jo laverty, elliott dunn, 666,-35.2772,149.1292,http://www.abc.net.au/local/photos/2014/03/21/3968528-mediarss.xml,"images/0942.png"
Clowning around with 666 Breakfast,http://www.abc.net.au/local/photos/2014/03/14/3963416.htm,14/03/2014,http://www.abc.net.au/reslib/201403/r1249267_16632007.jpg,Circus trainer Piri Goodman gives Phil a few tips on juggling.,Copyright: ABC | Source: Supplied | Byline: Stephen Walker,Community and Society:Youth, Education:Play and Learning, Information and Communication:Broadcasting:Radio,,ABC Canberra,ACT,Canberra,The Warehouse Circus, Philip Clark, Jo Laverty, Elliott Dunn, Stephen Walker, Louise Maher, 666 ABC Canberra, Canberra: Breakfast,-35.2772,149.1292,http://www.abc.net.au/local/photos/2014/03/14/3963416-mediarss.xml,"images/0964.png"
Judgement time: cakes, bread and vegetable sculptures on show,http://www.abc.net.au/local/photos/2014/02/20/3948768.htm,20/02/2014,http://www.abc.net.au/reslib/201402/r1239662_16423952.JPG,A creative entry awaiting judgement in the fruit and vegetable sculpture novelty class,Copyright: ABC | Source: ABC | Byline: ABC,Lifestyle and Leisure:Recipes:Cakes, Rural:Agricultural Shows,,ABC Canberra,ACT,Canberra,ABC, feature, 666, baking, cake, vegetable, Canberra Show, Cookery, Horticulture, Jams, spreads, preserves, Apiculture,,-35.2772,149.1292,http://www.abc.net.au/local/photos/2014/02/20/3948768-mediarss.xml,"images/1032.png"
Civic's transformation to a multicultural melting pot,http://www.abc.net.au/local/photos/2014/02/07/3940097.htm,7/02/2014,http://www.abc.net.au/reslib/201402/r1234575_16308534.jpg,Bollywood dancers on stage at the National Multicultural Festival,Copyright: ABC | Source: ABC Local | Byline: Jim Trail,Arts and Entertainment:Events:Carnivals and Festivals, Community and Society:Community and Multicultural Festivals, Lifestyle and Leisure:Food and Cooking, Lifestyle and Leisure:Recipes,ABC Canberra,ACT,Canberra,multicultural festival, civic, food, dance, performance, chinese, indian, european,-35.2772,149.1292,http://www.abc.net.au/local/photos/2014/02/07/3940097-mediarss.xml,"images/1054.png"
Canberra's Chinese community celebrates the New Year,http://www.abc.net.au/local/photos/2014/02/03/3936932.htm,3/02/2014,http://www.abc.net.au/reslib/201402/r1232173_16254666.JPG,(from left) Peter Luke, Chin Wong, Master Soo and Master Tong,Copyright: ABC | Source: ABC Local | Byline: Louise Maher,Community and Society:Community and Multicultural Festivals, Community and Society:Community Organisations, Community and Society:Multiculturalism, Lifestyle and Leisure:Food and Cooking,ABC Canberra,ACT,Canberra,Canberra: Mornings, Chinese New Year, Chin Wong, Louise Maher, 666 ABC Canberra, lunarnewyear,,-35.2772,149.1292,http://www.abc.net.au/local/photos/2014/02/03/3936932-mediarss.xml,"images/1076.png"
